month,yhat
2022-01,272.9146637091697
2022-02,231.6721742748831
2022-03,209.04656777350223
2022-04,197.6790907564809
2022-05,185.98520602176188
2022-06,174.12141836849696
2022-07,162.7539415971758
2022-08,150.41540941548948
2022-09,136.9143976931719
2022-10,124.26505873454286
2022-11,116.8619044860966
2022-12,129.02000482244867
2023-01,155.51064780977046
2023-02,179.71142811319868
2023-03,205.91766248657117
2023-04,230.11844253636028
2023-05,259.2122385768072
2023-06,281.77916283560813
2023-07,295.8654405289234
2023-08,304.46083014703123
2023-09,312.56461989410906
2023-10,322.3562708541131
2023-11,330.63517286938526
2023-12,341.89546484541694
2024-01,348.91089011112837
2024-02,356.80951559173906
2024-03,368.0698075677701
2024-04,374.7049562988245
2024-05,383.0340041466061
2024-06,391.08764806117506
