month,yhat
2022-01,171.22485934426388
2022-02,166.46932851101332
2022-03,160.50969193397466
2022-04,155.80190657933858
2022-05,150.81080773298567
2022-06,150.20569526146625
2022-07,153.15058778999006
2022-08,154.54408712777695
2022-09,150.41624041194402
2022-10,146.74443532118352
2022-11,142.3666082043567
2022-12,139.53462570058716
2023-01,144.61474863858732
2023-02,152.0084342062143
2023-03,160.1717910884976
2023-04,167.57658957729558
2023-05,176.33827500887057
2023-06,181.94620787740462
2023-07,183.53233604409462
2023-08,183.44807604493508
2023-09,184.237042575519
2023-10,184.9018681921964
2023-11,185.23967397129553
2023-12,186.8880541567006
2024-01,186.79163372058903
2024-02,187.03127189765667
2024-03,188.67965208306083
2024-04,188.48506404491815
2024-05,189.06057545418403
2024-06,189.6118363546021
