month,yhat
2022-01,304.58457313305354
2022-02,296.70375912753707
2022-03,287.82166172073727
2022-04,279.831788152007
2022-05,271.49915509644245
2022-06,266.41345057296587
2022-07,261.45908765451065
2022-08,255.3252007485393
2022-09,248.4455219295162
2022-10,241.90190569487683
2022-11,240.5043441954623
2022-12,240.73910688730558
2023-01,248.15214789723632
2023-02,262.6687622506229
2023-03,282.1928505217486
2023-04,299.43140212431365
2023-05,318.4950015155195
2023-06,326.31258502220237
2023-07,328.6255905735179
2023-08,335.44660359744177
2023-09,343.41533190442897
2023-10,351.57913444222993
2023-11,359.91095192820933
2023-12,371.16984369741715
2024-01,376.85206532947336
2024-02,384.3753002589765
2024-03,395.63419202818267
2024-04,400.507831103767
2024-05,409.28088510265417
2024-06,416.80837689673456
